disposition,ra,dec,st_pmra,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
2,112.293981,-21.832912,-5.746,0.0,4.502,0.261,-0.261,0.0,2459228.878101,0.000791,-0.000791,0,0.6808702,3.9e-05,-3.9e-05,0,2.4634563,0.0557065,-0.0557065,0,1507.8006889,39.971123,-39.971123,0,5.9115908,1.5360428,-1.5360428,0,87140.6995884,4382.0266062,8.45086,0.006,-0.006,0,485.122,36.246,-36.246,0,9438.0,782.0,-782.0,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.0,0.07458443695733533,-0.07458443695733533,0
1,113.984761,-32.841999,145.102,0.0,-134.901,0.052,-0.052,0.0,2459984.627768,0.002619,-0.002619,0,2.4704981,7.3e-06,-7.3e-06,0,2.191,0.482,-0.482,0,250.0,18.1279,-18.1279,0,1.44656,0.107503,-0.107503,0,575.597,1364.0,8.2388,0.006,-0.006,0,52.62,0.0793,-0.0793,0,5413.7,132.8,-132.8,0,4.46,0.09,-0.09,0,0.94,0.05,-0.05,0
5,117.095285,6.785064,-2.99,0.0,-0.029,0.106,-0.106,0.0,2459252.509595,0.000369,-0.000369,0,0.884182,7e-07,-7e-07,0,1.621,0.035,-0.035,0,1890.0,311.366,-311.366,0,24.8132,5.41599,-5.41599,0,112144.0,5098.0,8.12718,0.006,-0.006,0,295.959,11.315,-11.315,0,8928.0,128.7,-128.7,0,3.92,0.08,-0.08,0,2.72,0.13,-0.13,0
2,107.286063,-31.933523,-3.973,0.0,7.061,0.071,-0.071,0.0,2459232.248322,0.000512,-0.000512,0,5.4255548,0.0002073,-0.0002073,0,3.9637474,0.0211401,-0.0211401,0,14939.6342222,238.97354,-238.97354,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,273.5880696,1037.2753045,7.6095,0.006,-0.006,0,510.295,9.32,-9.32,0,8868.7,809.8,-809.8,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
2,103.561602,-34.22282,-13.063,0.0,9.737,0.141,-0.141,0.0,2459985.657041,0.000309,-0.000309,0,1.4095184,2.3e-06,-2.3e-06,0,0.9484999,0.0413901,-0.0413901,0,2841.5103258,51.88166,-51.88166,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,1650.422071,1625.6180218,7.678,0.012,-0.012,0,224.672,2.8445,-2.8445,0,9307.0,938.9,-938.9,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
2,122.895964,-27.971896,1.566,0.0,-17.974,0.053,-0.053,0.0,2459963.610065,0.004221,-0.004221,0,1.3730466,6.7e-06,-6.7e-06,0,2.5708515,0.1950537,-0.1950537,0,1301.5065338,96.64637,-96.64637,0,42.1479417,46.48904,-46.48904,0,3160.6328329,1912.3318636,10.7069,0.008,-0.008,0,906.496,28.8415,-28.8415,0,4897.0,122.0,-122.0,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,6.7996101,0.07458443695733533,-0.07458443695733533,0
2,116.110771,-36.098285,-9.231,0.0,11.614,0.052,-0.052,0.0,2459238.831138,0.006715,-0.006715,0,12.6889415,0.0095088,-0.0095088,0,7.9201001,0.5393766,-0.5393766,0,3232.8527885,235.25328,-235.25328,0,14.0608342,15.241591,-15.241591,0,425.1594177,1158.1310368,10.6257,0.006,-0.006,0,368.646,3.784,-3.784,0,7601.0,135.8,-135.8,0,4.31,0.08,-0.08,0,1.53641,0.0479799,-0.0479799,0
2,124.726411,-37.78325,-11.278,0.0,9.593,0.045,-0.045,0.0,2458518.96536,0.00137,-0.00137,0,1.10422,0.00013,-0.00013,0,2.37,0.062,-0.062,0,14177.7,843.788,-843.788,0,21.0448,5.22012,-5.22012,0,39459.3,3926.0,10.6019,0.006,-0.006,0,406.997,4.7245,-4.7245,0,6995.2,157.0,-157.0,0,4.07,0.55,-0.55,0,1.61,0.07,-0.07,0
2,111.716019,-50.266567,-8.018,0.0,11.56,0.047,-0.047,0.0,2458492.78078,0.00073,-0.00073,0,4.95912,0.00016,-0.00016,0,2.509,0.13,-0.13,0,7440.0,197.962,-197.962,0,22.9123,3.28055,-3.28055,0,673.55,1419.0,10.6254,0.006,-0.006,0,360.541,2.9645,-2.9645,0,5889.0,124.3,-124.3,0,3.86,0.07,-0.07,0,2.0,0.09,-0.09,0
1,120.147994,-54.878552,-11.732,0.0,2.586,0.061,-0.061,0.0,2459232.446864,0.00012,-0.00012,0,5.2341008,1.2e-06,-1.2e-06,0,3.7078139,0.0125204,-0.0125204,0,20796.9416293,50.80361,-50.80361,0,24.2931408,0.7497171,-0.7497171,0,1453.6663847,1574.8381848,10.6348,0.006,-0.006,0,399.544,4.1635,-4.1635,0,7645.0,134.4,-134.4,0,4.3,0.08,-0.08,0,1.56203,0.0481257,-0.0481257,0
